"","IdCirc","nom2011","nom2015","nom2019","nameChange"
"317",59024,"Saanich--Gulf Islands","Prince George--Peace River--Northern Rockies","Prince George--Peace River--Northern Rockies",1
"318",59025,"Skeena--Bulkley Valley","Richmond-Centre","Richmond-Centre",1
"319",59026,"Colombie-Britannique-Southern Interior","Esquimalt--Saanich--Sooke","Esquimalt--Saanich--Sooke",1
"320",59027,"Surrey-Sud--White Rock--Cloverdale","Saanich--Gulf Islands","Saanich--Gulf Islands",1
"321",59028,"Surrey-Nord","Skeena--Bulkley Valley","Skeena--Bulkley Valley",1
"322",59029,"Vancouver-Centre","Okanagan-Sud--Kootenay-Ouest","Okanagan-Sud--Kootenay-Ouest",1
"323",59030,"Vancouver-Est","Surrey-Sud--White Rock","Surrey-Sud--White Rock",1
"324",59031,"<ce>le de Vancouver-Nord","Steveston--Richmond-Est","Steveston--Richmond-Est",1
"325",59032,"Vancouver Kingsway","Surrey-Centre","Surrey-Centre",1
"326",59033,"Vancouver Quadra","Surrey--Newton","Surrey--Newton",1
"327",59034,"Vancouver-Sud","Vancouver-Centre","Vancouver-Centre",1
"328",59035,"Victoria","Vancouver-Est","Vancouver-Est",1
"329",59036,"West Vancouver--Sunshine Coast--Sea to Sky Country","Vancouver Granville","Vancouver Granville",1
"330",59037,NA,"North Island--Powell River","North Island--Powell River",NA
"331",59038,NA,"Vancouver Kingsway","Vancouver Kingsway",NA
"332",59039,NA,"Vancouver Quadra","Vancouver Quadra",NA
"333",59040,NA,"Vancouver-Sud","Vancouver-Sud",NA
"334",59041,NA,"Victoria","Victoria",NA
"335",59042,NA,"West Vancouver--Sunshine Coast--Sea to Sky Country","West Vancouver--Sunshine Coast--Sea to Sky Country",NA
"336",60001,"Yukon","Yukon","Yukon",0
"337",61001,"Western Arctic","Territoires du Nord-Ouest","Territoires du Nord-Ouest",1
"338",62001,"Nunavut","Nunavut","Nunavut",0
